symbol_tv,interval,time,open,high,low,close,volume,datetime,tf_label
CAPITALCOM:US30,15,2025-09-19 00:30:00,46199.2,46206.3,46175.6,46187.6,423.0,2025-09-19 00:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 00:45:00,46186.6,46208.5,46186.6,46203.1,473.0,2025-09-19 00:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 01:00:00,46202.1,46204.5,46188.2,46202.4,458.0,2025-09-19 01:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 01:15:00,46201.9,46210.7,46193.1,46205.8,457.0,2025-09-19 01:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 01:30:00,46206.8,46228.3,46206.8,46226.0,502.0,2025-09-19 01:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 01:45:00,46226.5,46235.3,46213.8,46223.8,521.0,2025-09-19 01:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 02:00:00,46224.3,46232.1,46197.8,46200.0,414.0,2025-09-19 02:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 02:15:00,46199.5,46209.4,46188.9,46190.4,342.0,2025-09-19 02:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 02:30:00,46189.9,46209.6,46188.9,46195.1,235.0,2025-09-19 02:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 02:45:00,46195.6,46202.6,46191.5,46196.4,183.0,2025-09-19 02:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 03:00:00,46196.9,46244.5,46194.5,46234.3,283.0,2025-09-19 03:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 03:15:00,46234.8,46246.2,46232.7,46243.2,278.0,2025-09-19 03:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 03:30:00,46242.7,46242.7,46207.2,46226.7,460.0,2025-09-19 03:30:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 03:45:00,46227.2,46238.4,46200.1,46209.7,1090.0,2025-09-19 03:45:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 04:00:00,46210.2,46213.8,46165.7,46168.5,1003.0,2025-09-19 04:00:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 04:15:00,46167.5,46191.7,46158.8,46187.5,1009.0,2025-09-19 04:15:00+00:00,M15
CAPITALCOM:US30,15,2025-09-19 04:30:00,46187.0,46194.8,46181.8,46188.1,564.0,2025-09-19 04:30:00+00:00,M15
CAPITALCOM:US30,1D,2025-05-01 21:00:00,40705.7,41387.7,40658.2,41325.1,126809.0,2025-05-01 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-04 22:00:00,41276.3,41448.8,40996.8,41225.6,96405.0,2025-05-04 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-05 21:00:00,41212.3,41251.8,40667.7,40736.1,108606.0,2025-05-05 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-06 21:00:00,40735.3,41281.7,40733.8,41082.9,140189.0,2025-05-06 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-07 21:00:00,41062.8,41775.1,41025.3,41355.6,117954.0,2025-05-07 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-08 21:00:00,41393.1,41525.1,41143.0,41291.0,109670.0,2025-05-08 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-11 22:00:00,41756.5,42470.1,41594.6,42433.9,125418.0,2025-05-11 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-12 21:00:00,42440.8,42445.8,42111.4,42149.3,101728.0,2025-05-12 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-13 21:00:00,42164.0,42257.0,41942.5,42015.0,101963.0,2025-05-13 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-14 21:00:00,42014.5,42347.2,41757.5,42309.9,103981.0,2025-05-14 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-15 21:00:00,42342.8,42666.4,42230.3,42435.0,78814.0,2025-05-15 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-18 22:00:00,42353.0,42841.0,42236.5,42790.5,102764.0,2025-05-18 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-19 21:00:00,42790.2,42874.2,42478.4,42647.4,88182.0,2025-05-19 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-20 21:00:00,42639.4,42654.4,41765.2,41792.6,128048.0,2025-05-20 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-21 21:00:00,41793.3,42091.7,41613.8,41911.4,122011.0,2025-05-21 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-22 21:00:00,41924.0,41961.5,41170.0,41591.0,142756.0,2025-05-22 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-25 22:00:00,41582.8,42096.8,41570.3,42065.0,37001.0,2025-05-25 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-26 21:00:00,42043.8,42401.1,41875.5,42399.9,81773.0,2025-05-26 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-27 21:00:00,42396.8,42446.9,42040.6,42131.9,92179.0,2025-05-27 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-28 21:00:00,42108.6,42716.1,41817.2,42156.4,166348.0,2025-05-28 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-05-29 21:00:00,42160.6,42376.2,41898.1,42200.6,148802.0,2025-05-29 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-01 22:00:00,42127.9,42350.0,41840.5,42311.1,128976.0,2025-06-01 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-02 21:00:00,42300.8,42570.7,42048.6,42527.4,101189.0,2025-06-02 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-03 21:00:00,42526.0,42651.0,42390.6,42399.7,100277.0,2025-06-03 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-04 21:00:00,42402.4,42670.0,42205.3,42344.8,133514.0,2025-06-04 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-05 21:00:00,42297.4,42930.0,42297.4,42781.3,116338.0,2025-06-05 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-08 22:00:00,42823.7,42896.6,42558.8,42765.7,86279.0,2025-06-08 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-09 21:00:00,42776.2,42926.9,42637.3,42837.6,106431.0,2025-06-09 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-10 21:00:00,42835.1,43118.5,42718.2,42859.4,128752.0,2025-06-10 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-11 21:00:00,42837.7,42968.9,42557.9,42909.1,113861.0,2025-06-11 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-12 21:00:00,42925.0,42925.0,42075.9,42142.3,195693.0,2025-06-12 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-15 22:00:00,42001.2,42711.5,41979.8,42528.9,119687.0,2025-06-15 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-16 21:00:00,42537.0,42553.7,42125.8,42210.8,128680.0,2025-06-16 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-17 21:00:00,42206.9,42511.4,42072.1,42179.1,118501.0,2025-06-17 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-18 21:00:00,42182.1,42189.2,41743.9,41867.2,61674.0,2025-06-18 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-19 21:00:00,41909.3,42430.0,41906.3,42252.3,133920.0,2025-06-19 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-22 22:00:00,41866.9,42616.4,41847.5,42595.2,135210.0,2025-06-22 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-23 21:00:00,42598.9,43183.1,42580.9,43072.1,102696.0,2025-06-23 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-24 21:00:00,43082.8,43143.2,42849.8,42982.1,77790.0,2025-06-24 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-25 21:00:00,42988.1,43441.8,42965.8,43414.4,72684.0,2025-06-25 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-26 21:00:00,43413.1,43966.6,43413.1,43934.6,92915.0,2025-06-26 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-29 22:00:00,43929.1,44134.2,43875.8,44039.7,81790.0,2025-06-29 22:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-06-30 21:00:00,44044.6,44604.2,43985.8,44518.8,98462.0,2025-06-30 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-07-01 21:00:00,44517.6,44658.8,44340.0,44475.5,88920.0,2025-07-01 21:00:00+00:00,D1
CAPITALCOM:US30,1D,2025-07-02 21:00:00,44484.9,44881.1,44456.4,44814.0,60812.0,2025-07-02 21:00:00+00:00,D1
